lemma	pos	#_semcor	#_omsti	#_omsti_sample
Iraq	n	0	0	0
committee	n	0	497	497
net	n	0	0	0
nutrient	n	0	0	0
night	n	0	801	801
cost	n	0	992	992
month	n	0	475	475
light	n	0	457	457
stake	n	0	0	0
barrel	n	0	0	0
Israel	n	0	0	0
time	n	0	1984	1000
pound	n	0	278	278
nobility	n	0	0	0
number	n	0	1724	1000
Nasdaq	n	0	0	0
journal	n	0	0	0
honor	n	0	0	0
bush_administration	n	0	0	0
big_league	n	0	0	0
e-mail	n	0	0	0
mortgage	n	0	0	0
figure	n	0	1699	1000
family	n	0	1325	1000
conviction	n	0	751	751
human_right	n	0	0	0
unemployed	n	0	0	0
challenge	n	0	0	0
striker	n	0	0	0
language	n	0	411	411
election	n	0	919	919
argument	n	0	1377	1000
round	n	0	0	0
imposition	n	0	0	0
lifetime	n	0	0	0
reporter	n	0	0	0
ink	n	0	0	0
lawyer	n	0	0	0
last_word	n	0	0	0
heavyweight	n	0	0	0
player	n	0	0	0
camera	n	0	0	0
concern	n	0	1649	1000
talk	n	0	0	0
Left	n	0	0	0
united_states	n	0	0	0
assumption	n	0	771	771
organization	n	0	0	0
science	n	0	487	487
period	n	0	849	849
liability	n	0	0	0
waiter	n	0	0	0
plane	n	0	739	739
carnival	n	0	0	0
presence	n	0	570	570
hand	n	0	770	770
lawbreaker	n	0	0	0
proximity	n	0	0	0
indetermination	n	0	0	0
congestion	n	0	0	0
routine	n	0	0	0
matter	n	0	1969	1000
legal_fraud	n	0	0	0
punishment	n	0	0	0
strategy	n	0	0	0
transaction	n	0	0	0
attorney	n	0	0	0
broadcaster	n	0	0	0
wave	n	0	427	427
football	n	0	0	0
USA	n	0	0	0
cycle	n	0	0	0
season	n	0	70	70
indication	n	0	0	0
meeting	n	0	1087	1000
responsibility	n	0	980	980
ethic	n	0	0	0
goalkeeper	n	0	0	0
impact	n	0	1383	1000
trading	n	0	0	0
visit	n	0	0	0
applause	n	0	0	0
posturing	n	0	0	0
practice	n	0	1044	1000
day	n	0	1030	1000
critic	n	0	0	0
sector	n	0	0	0
line	n	0	5862	1000
CEO	n	0	0	0
Right	n	0	0	0
door	n	0	59	59
dollar	n	0	185	185
club	n	0	493	493
rallying_cry	n	0	0	0
situation	n	0	980	980
thursday	n	0	0	0
State	n	0	0	0
emission	n	0	0	0
spite	n	0	0	0
national_institutes_of_health	n	0	0	0
high_court	n	0	0	0
negotiation	n	0	0	0
assistant_professor	n	0	0	0
student	n	0	495	495
place	n	0	1809	1000
effect	n	0	1379	1000
pressure	n	0	326	326
migrant	n	0	0	0
shortage	n	0	0	0
appearance	n	0	824	824
technology	n	0	0	0
basket	n	0	0	0
American	n	0	0	0
earth	n	0	496	496
recrimination	n	0	0	0
drought	n	0	0	0
child	n	0	997	997
bed	n	0	277	277
promise	n	0	0	0
employment	n	0	0	0
state	n	0	2000	1000
type	n	0	500	500
safety_net	n	0	0	0
lead	n	0	0	0
closing	n	0	0	0
settlement	n	0	0	0
victory	n	0	0	0
peak	n	0	0	0
accumulation	n	0	0	0
benefit	n	0	990	990
reaction	n	0	123	123
Astrobiology	n	0	0	0
climate_change	n	0	0	0
hotel	n	0	0	0
victim	n	0	0	0
debate	n	0	0	0
deposit	n	0	0	0
democrat	n	0	0	0
Euro	n	0	0	0
controversy	n	0	0	0
horde	n	0	0	0
united_kingdom	n	0	0	0
year	n	0	993	993
row	n	0	0	0
chairman	n	0	0	0
Nicaragua	n	0	0	0
text	n	0	525	525
June	n	0	0	0
dinner	n	0	68	68
harassment	n	0	0	0
suit	n	0	598	598
party	n	0	1098	1000
new_york_stock_exchange	n	0	0	0
bombing	n	0	0	0
misconduct	n	0	0	0
oxygen	n	0	0	0
track	n	0	0	0
bank	n	0	1090	1000
Google	n	0	0	0
border	n	0	0	0
misery	n	0	0	0
compatibility	n	0	0	0
sulfur	n	0	0	0
confidence	n	0	0	0
Judge	n	0	0	0
NASA	n	0	0	0
help	n	0	23	23
solicitor_general	n	0	0	0
chart	n	0	0	0
popularity	n	0	0	0
atmosphere	n	0	956	956
way	n	0	1697	1000
risk	n	0	0	0
option	n	0	0	0
trainer	n	0	0	0
carbon	n	0	0	0
interview	n	0	0	0
phase	n	0	517	517
news_conference	n	0	0	0
indicator	n	0	0	0
inclusion	n	0	0	0
emotion	n	0	0	0
Friday	n	0	0	0
limit	n	0	0	0
reference	n	0	1052	1000
reduction	n	0	0	0
flow	n	0	0	0
nothing	n	0	335	335
envoy	n	0	0	0
hymn	n	0	0	0
people	n	0	1090	1000
referee	n	0	0	0
reporting	n	0	0	0
major_power	n	0	0	0
Calif.	n	0	0	0
kind	n	0	0	0
wife	n	0	0	0
evidence	n	0	1041	1000
sponsor	n	0	0	0
field	n	0	1213	1000
plan	n	0	175	175
hard_line	n	0	0	0
fraud	n	0	0	0
justice	n	0	1944	1000
nitrogen	n	0	0	0
testimony	n	0	0	0
participant	n	0	0	0
experience	n	0	1159	1000
trial_court	n	0	0	0
foreign_minister	n	0	0	0
wrist	n	0	0	0
bankruptcy	n	0	0	0
interest	n	0	1969	1000
Professor	n	0	0	0
petition	n	0	0	0
Yahoo	n	0	0	0
part	n	0	1123	1000
south_america	n	0	0	0
claim	n	0	1453	1000
institution	n	0	1151	1000
litigation	n	0	0	0
long_time	n	0	0	0
technician	n	0	0	0
mortgage-backed_security	n	0	0	0
absence	n	0	0	0
set	n	0	557	557
regulation	n	0	0	0
speculation	n	0	0	0
mexico	n	0	0	0
index	n	0	1121	1000
form	n	0	1479	1000
oil_industry	n	0	0	0
Panama	n	0	0	0
worry	n	0	0	0
recovery	n	0	0	0
activist	n	0	0	0
spirit	n	0	252	252
daughter	n	0	0	0
trial	n	0	1346	1000
industry	n	0	991	991
recession	n	0	0	0
immigration	n	0	0	0
amount	n	0	1040	1000
dispute	n	0	0	0
commitment	n	0	0	0
san_jose	n	0	0	0
October	n	0	0	0
release	n	0	0	0
work	n	0	1614	1000
trajectory	n	0	0	0
perimeter	n	0	0	0
Mexico	n	0	0	0
professor	n	0	0	0
problem	n	0	500	500
administration	n	0	944	944
idea	n	0	951	951
review	n	0	0	0
challenger	n	0	0	0
common_sense	n	0	0	0
society	n	0	990	990
sale	n	0	490	490
December	n	0	0	0
lot	n	0	1516	1000
indifference	n	0	0	0
will	n	0	651	651
coverage	n	0	0	0
bricklayer	n	0	0	0
Tuesday	n	0	0	0
competition	n	0	0	0
contributor	n	0	0	0
economic_commission_for_latin_america	n	0	0	0
edition	n	0	0	0
Wednesday	n	0	0	0
quarter	n	0	0	0
superior_court	n	0	0	0
surgeon	n	0	0	0
momentum	n	0	0	0
card	n	0	0	0
Brazil	n	0	0	0
Justice	n	0	0	0
focus	n	0	0	0
candidate	n	0	885	885
shackle	n	0	0	0
report	n	0	964	964
breach	n	0	0	0
Thursday	n	0	0	0
ground	n	0	1700	1000
structure	n	0	501	501
wage	n	0	0	0
costa_rica	n	0	0	0
leader	n	0	500	500
Labor	n	0	0	0
outlet	n	0	0	0
act	n	0	561	561
assistance	n	0	952	952
search	n	0	463	463
