lemma	pos	#_semcor	#_omsti	#_omsti_sample
accumulation	n	4	0	0
reality	n	39	0	0
opportunity	n	59	0	0
hand	n	177	0	0
ethos	n	2	0	0
triumph	n	11	0	0
waiter	n	4	0	0
heading	n	1	0	0
principle	n	36	0	0
couple	n	29	0	0
plan	n	68	0	0
passion	n	4	0	0
immigration	n	1	0	0
show	n	25	0	0
State	n	0	0	0
evening	n	36	0	0
Connecticut	n	0	0	0
open_university	n	0	0	0
trick	n	6	0	0
guest_of_honor	n	0	0	0
major_power	n	0	0	0
poll	n	4	0	0
e-mail	n	0	0	0
trial_judge	n	1	0	0
compatibility	n	0	0	0
planet	n	22	0	0
hard_time	n	1	0	0
month	n	104	0	0
hydrogen	n	6	0	0
weekend	n	13	0	0
side	n	139	0	0
closing	n	2	0	0
cut	n	3	0	0
wind	n	21	0	0
matter	n	65	0	0
violation	n	11	0	0
burden	n	7	0	0
confidence	n	15	0	0
law_firm	n	0	0	0
progress	n	35	0	0
anaesthetist	n	0	0	0
intensity	n	41	0	0
publication	n	11	0	0
year	n	446	0	0
legal_fraud	n	0	0	0
thing	n	274	0	0
respondent	n	0	0	0
complementarity	n	0	0	0
deforestation	n	0	0	0
percent	n	64	0	0
Internet	n	0	0	0
September	n	0	0	0
advance	n	7	0	0
form	n	233	0	0
developing_country	n	0	0	0
American	n	0	0	0
light	n	101	0	0
budget	n	7	0	0
environment	n	20	0	0
pressure	n	102	0	0
ministry	n	2	0	0
cost	n	85	0	0
adaptation	n	1	0	0
generosity	n	1	0	0
cup	n	20	0	0
supreme_court	n	2	0	0
filing	n	3	0	0
fundraiser	n	0	0	0
complaint	n	4	0	0
whistle	n	0	0	0
Panama	n	0	0	0
global_warming	n	0	0	0
fact	n	124	0	0
courthouse	n	0	0	0
news_media	n	0	0	0
bed	n	51	0	0
meeting	n	38	0	0
presence	n	35	0	0
discipline	n	7	0	0
law	n	92	0	0
strategy	n	11	0	0
half	n	42	0	0
reaction	n	55	0	0
applause	n	9	0	0
kitty	n	0	0	0
kind	n	117	0	0
indetermination	n	0	0	0
greenhouse_gas	n	0	0	0
point	n	143	0	0
oil_industry	n	0	0	0
adviser	n	0	0	0
Brazil	n	0	0	0
trainer	n	0	0	0
defense	n	34	0	0
night	n	152	0	0
suspension	n	6	0	0
verdict	n	1	0	0
trajectory	n	0	0	0
prosecutor	n	4	0	0
journal	n	3	0	0
ink	n	2	0	0
sense	n	72	0	0
option	n	0	0	0
process	n	62	0	0
administration	n	14	0	0
misconduct	n	0	0	0
banality	n	0	0	0
wrist	n	9	0	0
organism	n	9	0	0
diversity	n	2	0	0
shareholder	n	0	0	0
broadcaster	n	0	0	0
bacterium	n	0	0	0
obligation	n	14	0	0
wave	n	54	0	0
fairness	n	1	0	0
concentration	n	38	0	0
emission	n	6	0	0
code	n	10	0	0
reporter	n	10	0	0
trouble	n	52	0	0
application	n	29	0	0
photograph	n	17	0	0
business	n	95	0	0
phase	n	47	0	0
bush_administration	n	0	0	0
india	n	5	0	0
benefit	n	31	0	0
decision	n	38	0	0
possibility	n	54	0	0
Institute	n	0	0	0
government	n	107	0	0
compensation	n	6	0	0
teamwork	n	0	0	0
flow	n	34	0	0
factor	n	44	0	0
fannie_mae	n	0	0	0
subject	n	58	0	0
settlement	n	14	0	0
hour	n	110	0	0
integrity	n	4	0	0
support	n	38	0	0
basis	n	66	0	0
focus	n	12	0	0
misery	n	8	0	0
chemical	n	6	0	0
June	n	0	0	0
impact	n	18	0	0
chart	n	9	0	0
lifetime	n	2	0	0
development	n	133	0	0
machinery	n	15	0	0
circumstance	n	41	0	0
dow_jones	n	0	0	0
technology	n	14	0	0
freddie_mac	n	0	0	0
phosphorus	n	1	0	0
narrow_margin	n	0	0	0
Canon	n	0	0	0
Judge	n	0	0	0
jury	n	23	0	0
department_of_energy	n	0	0	0
level	n	112	0	0
loss	n	43	0	0
committee	n	17	0	0
restriction	n	6	0	0
dollar	n	34	0	0
ground	n	57	0	0
sum	n	19	0	0
limit	n	29	0	0
society	n	92	0	0
scorer	n	0	0	0
number_one	n	0	0	0
move	n	12	0	0
attendance	n	2	0	0
trend	n	20	0	0
worker	n	37	0	0
October	n	0	0	0
situation	n	83	0	0
distinction	n	23	0	0
swing	n	1	0	0
climate_change	n	0	0	0
tie	n	14	0	0
decade	n	25	0	0
costa_rica	n	0	0	0
edition	n	5	0	0
player	n	24	0	0
Left	n	0	0	0
bond	n	34	0	0
cycle	n	10	0	0
Astrobiology	n	0	0	0
addition	n	11	0	0
economic_commission_for_latin_america	n	0	0	0
backing	n	3	0	0
microbe	n	0	0	0
uproar	n	1	0	0
type	n	142	0	0
bonus	n	1	0	0
minister	n	10	0	0
season	n	54	0	0
liability	n	1	0	0
paper	n	71	0	0
debate	n	17	0	0
european_union	n	0	0	0
example	n	65	0	0
element	n	48	0	0
Friday	n	0	0	0
life	n	234	0	0
knowledge	n	39	0	0
recrimination	n	2	0	0
Justice	n	0	0	0
December	n	0	0	0
punishment	n	11	0	0
courtroom	n	0	0	0
Spain	n	0	0	0
race	n	15	0	0
increase	n	83	0	0
high_court	n	0	0	0
sort	n	61	0	0
leadership	n	22	0	0
candidate	n	25	0	0
perimeter	n	0	0	0
value	n	132	0	0
Nasdaq	n	0	0	0
assistant_professor	n	0	0	0
money	n	91	0	0
dominican_republic	n	1	0	0
notion	n	29	0	0
low	n	0	0	0
legal_principle	n	0	0	0
report	n	71	0	0
family	n	135	0	0
Calif.	n	0	0	0
economy	n	23	0	0
Senate	n	0	0	0
way	n	298	0	0
worry	n	14	0	0
poverty	n	6	0	0
san_jose	n	0	0	0
whole	n	8	0	0
negotiator	n	0	0	0
crisis	n	13	0	0
ruling	n	4	0	0
united_kingdom	n	2	0	0
television_show	n	0	0	0
foreign_minister	n	0	0	0
March	n	0	0	0
status	n	21	0	0
united_nations	n	4	0	0
index	n	2	0	0
selection	n	16	0	0
America	n	0	0	0
Future	n	0	0	0
appearance	n	22	0	0
participant	n	1	0	0
relative	n	9	0	0
scoreboard	n	1	0	0
flexibility	n	9	0	0
